Player,Team,Position,Salary,Years,Total Value,Average Annual
"Ohtani, Shohei",LAD,DH/RHP,"$70,000,000",10,"$700,000,000","$70,000,000.00"
"Scherzer, Max",TEX,RHP,"$43,333,334",3,"$130,000,000","$43,333,333"
"Verlander, Justin",HOU,RHP,"$43,333,333",2,"$86,666,666","$43,333,333"
"deGrom, Jacob",TEX,RHP,"$40,000,000",5,"$185,000,000","$37,000,000"
"Judge, Aaron",NYY,OF,"$40,000,000",9,"$360,000,000","$40,000,000"
"Rendon, Anthony",LAA,3B,"$38,571,429",7,"$245,000,000","$35,000,000.00"
"Trout, Mike",LAA,OF,"$37,116,667",12,"$426,500,000","$35,541,667"
"Cole, Gerrit",NYY,RHP,"$36,000,000",9,"$324,000,000","$36,000,000"
"Seager, Corey",TEX,SS,"$35,000,000",10,"$325,000,000","$32,500,000.00"
"Corbin, Patrick",WSH,LHP,"$34,556,200",6,"$140,000,000","$23,333,333"
"Correa, Carlos",MIN,SS,"$33,333,333",6,"$200,000,000","$33,333,333"
"Strasburg, Stephen",WSH,RHP,"$32,811,200",7,"$245,000,000","$35,000,000"
"Arenado, Nolan",STL,3B,"$32,675,167",8,"$260,000,000","$32,500,000"
"Lindor, Francisco",NYM,SS,"$32,477,639",10,"$341,000,000","$34,100,000"
"Snell, Blake",SF,LHP,"$32,000,000",2,"$62,000,000","$31,000,000"
"Stanton, Giancarlo",NYY,DH,"$32,000,000",13,"$325,000,000","$25,000,000"
"Soto, Juan",NYY,OF,"$31,000,000",1,"$31,000,000","$31,000,000"
"Bregman, Alex",HOU,3B,"$30,500,000",5,"$100,000,000","$20,000,000.00"
"Altuve, Jose",HOU,2B,"$29,000,000",7,"$163,500,000","$23,357,143"
"Bryant, Kris",COL,1B,"$28,000,000",7,"$182,000,000","$26,000,000"
"Rodon, Carlos",NYY,LHP,"$27,833,333",6,"$162,000,000","$27,000,000"
"Harper, Bryce",PHI,1B,"$27,538,462",13,"$330,000,000","$25,384,615.38"
"Bellinger, Cody",CHC,OF,"$27,500,000",3,"$80,000,000","$26,666,667"
"Turner, Trea",PHI,SS,"$27,272,727",11,"$300,000,000","$27,272,727"
"Devers, Rafael",BOS,3B,"$27,066,581",10,"$313,500,000","$31,350,000"
"Betts, Mookie",LAD,SS,"$26,158,692",12,"$365,000,000","$30,416,666.67"
"Swanson, Dansby",CHC,SS,"$26,000,000",7,"$177,000,000","$25,285,714"
"Semien, Marcus",TEX,2B,"$26,000,000",7,"$175,000,000","$25,000,000"
"Bogaerts, Xander",SD,2B,"$25,454,545",11,"$280,000,000","$25,454,545"
"Goldschmidt, Paul",STL,1B,"$25,333,333",5,"$130,000,000","$26,000,000"
"Freeman, Freddie",LAD,1B,"$25,144,772",6,"$162,000,000","$27,000,000"
