Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Jarren Duran,BOS,OF,28,160,671,111,191,48,14,21,75,34,7,54,160,1,3,6,.285,.342,.492,.834
Ezequiel Tovar,COL,SS,23,157,655,83,176,45,4,26,78,6,5,23,200,5,7,4,.269,.295,.469,.764
Marcus Semien,TEX,2B,34,159,650,101,154,27,2,23,74,8,3,64,105,0,1,3,.237,.308,.391,.699
Anthony Volpe,NYY,SS,23,160,637,90,155,27,7,12,60,28,7,42,156,2,3,4,.243,.293,.364,.657
Bobby Witt,KC,SS,24,161,636,125,211,45,11,32,109,31,12,57,106,0,8,8,.332,.389,.588,.977
Shohei Ohtani,LAD,DH,30,159,636,134,197,38,7,54,130,59,4,81,162,0,5,6,.310,.390,.646,1.036
Gunnar Henderson,BAL,SS,23,159,630,118,177,31,7,37,92,21,4,78,159,0,4,7,.281,.364,.529,.893
Jose Altuve,HOU,2B,34,153,628,94,185,31,0,20,65,22,7,47,119,0,0,7,.295,.350,.439,.789
Bryan Reynolds,PIT,OF,30,156,622,73,171,29,3,24,88,10,2,57,156,0,3,10,.275,.344,.447,.791
Jose Ramirez,CLE,3B,32,158,620,114,173,39,2,39,118,41,7,54,82,0,6,1,.279,.335,.537,.872
Francisco Lindor,NYM,SS,31,152,618,107,169,39,1,33,91,29,4,56,127,0,3,12,.273,.344,.500,.844
Elly De La Cruz,CIN,SS,23,160,618,105,160,36,10,25,76,67,16,69,218,2,1,6,.259,.339,.471,.810
Vladimir Guerrero,TOR,1B,25,159,616,98,199,44,1,30,103,2,2,72,96,0,4,5,.323,.396,.544,.940
Willy Adames,MIL,SS,29,161,610,93,153,33,0,32,112,21,4,74,173,0,3,1,.251,.331,.462,.793
Pete Alonso,NYM,1B,30,162,608,91,146,31,0,34,88,3,0,70,172,0,4,13,.240,.329,.459,.788
Marcell Ozuna,ATL,DH,34,162,606,96,183,31,0,39,104,1,0,74,170,0,4,3,.302,.378,.546,.924
Nick Castellanos,PHI,OF,33,162,606,80,154,30,4,23,86,6,2,41,139,0,2,10,.254,.311,.431,.742
Jeremy Pena,HOU,SS,27,157,602,78,160,28,2,15,70,20,6,25,111,3,6,14,.266,.308,.394,.702
Matt Olson,ATL,1B,30,162,600,78,148,37,1,29,98,0,0,71,170,0,5,9,.247,.333,.457,.790
Paul Goldschmidt,STL,1B,37,154,599,70,147,33,1,22,65,11,0,47,173,0,2,2,.245,.302,.414,.716
Anthony Santander,BAL,OF,30,155,595,91,140,25,2,44,102,2,0,58,129,0,5,7,.235,.308,.506,.814
William Contreras,MIL,C,27,155,595,99,167,37,2,23,92,9,2,78,139,0,3,3,.281,.365,.466,.831
Manny Machado,SD,3B,32,152,593,77,163,30,0,29,105,11,2,45,124,0,4,1,.275,.325,.472,.797
Salvador Perez,KC,C,34,158,590,58,160,28,0,27,104,0,0,44,129,0,6,11,.271,.330,.456,.786
Teoscar Hernandez,LAD,OF,32,154,589,84,160,32,2,33,99,12,3,53,188,0,1,8,.272,.339,.501,.840
Corbin Carroll,ARI,OF,24,158,589,121,136,22,14,22,74,35,8,73,130,3,9,10,.231,.322,.428,.750
Gleyber Torres,NYY,2B,28,154,587,80,151,26,0,15,63,4,3,65,136,2,8,3,.257,.330,.378,.708
Brendan Donovan,STL,2B,28,153,587,65,163,34,3,14,73,5,5,47,81,0,5,13,.278,.342,.417,.759
Masyn Winn,STL,SS,22,150,587,85,157,32,5,15,57,11,5,41,109,3,5,1,.267,.314,.416,.730
Yainer Diaz,HOU,C,26,148,585,70,175,29,3,16,84,2,0,24,107,0,8,2,.299,.325,.441,.766
