Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Logan Gilbert,SEA,27,33,33,1,0,208.2,148,75,220,37,26,9,12,0,0,0,3.23,0.89
Seth Lugo,KC,35,33,33,1,0,206.2,177,69,181,48,16,16,9,0,0,0,3.00,1.09
Logan Webb,SF,28,33,33,1,1,204.2,202,79,172,50,11,13,10,0,0,0,3.47,1.23
Zack Wheeler,PHI,34,32,32,0,0,200.0,139,57,224,52,20,16,7,0,0,0,2.57,0.95
Aaron Nola,PHI,31,33,33,1,1,199.1,189,79,197,50,30,14,8,0,0,0,3.57,1.20
Corbin Burnes,BAL,30,32,32,0,0,194.1,165,63,181,48,22,15,9,0,0,0,2.92,1.10
Jose Berrios,TOR,30,32,32,1,0,192.1,168,77,153,54,31,16,11,0,0,0,3.60,1.15
Tarik Skubal,DET,28,31,31,0,0,192.0,142,51,228,35,15,18,4,0,0,0,2.39,0.92
George Kirby,SEA,27,33,33,0,0,191.0,181,75,179,23,22,14,11,0,0,0,3.53,1.07
Dylan Cease,SD,29,33,33,1,1,189.1,137,73,224,65,18,14,11,0,0,0,3.47,1.07
Jake Irvin,WSH,28,33,33,0,0,187.2,173,92,156,52,29,10,14,0,0,0,4.41,1.20
Cole Ragans,KC,27,32,32,1,0,186.1,146,65,223,67,15,11,9,0,0,0,3.14,1.14
Pablo Lopez,MIN,28,32,32,0,0,185.1,180,84,198,41,26,15,10,0,0,0,4.08,1.19
Kutter Crawford,BOS,28,33,33,0,0,183.2,155,89,175,51,34,9,16,0,0,0,4.36,1.12
Luis Severino,NYM,31,31,31,1,1,182.0,166,79,161,60,23,11,7,0,0,0,3.91,1.24
Sean Manaea,NYM,33,32,32,0,0,181.2,134,70,184,63,21,12,6,0,0,0,3.47,1.08
Cristopher Sanchez,PHI,28,31,31,2,1,181.2,182,67,153,44,11,11,9,0,0,0,3.32,1.24
Brandon Pfaadt,ARI,26,32,32,0,0,181.2,183,95,185,42,24,11,10,0,0,0,4.71,1.24
Kevin Gausman,TOR,34,31,31,2,1,181.0,165,77,162,56,20,14,11,0,0,0,3.83,1.22
JP Sears,OAK,29,32,32,0,0,180.2,172,88,137,49,28,11,13,0,0,0,4.38,1.22
Bryce Miller,SEA,26,31,31,0,0,180.1,131,59,171,45,21,12,8,0,0,0,2.94,0.98
Brady Singer,KC,28,32,32,0,0,179.2,175,74,170,54,22,9,13,0,0,0,3.71,1.27
Tyler Anderson,LAA,35,31,31,0,0,179.1,158,76,142,73,24,10,15,0,0,0,3.81,1.29
Bailey Ober,MIN,29,31,31,1,0,178.2,136,79,191,43,27,12,9,0,0,0,3.98,1.00
Tanner Houck,BOS,28,30,30,1,1,178.2,156,62,154,48,11,9,10,0,0,0,3.12,1.14
Mitch Keller,PIT,28,31,31,1,0,178.0,182,84,166,50,23,11,12,0,0,0,4.25,1.30
Chris Sale,ATL,35,29,29,0,0,177.2,141,47,225,39,9,18,3,0,0,0,2.38,1.01
Framber Valdez,HOU,31,28,28,1,0,176.1,140,57,169,55,13,15,7,0,0,0,2.91,1.11
Luis Castillo,SEA,32,30,30,0,0,175.1,158,71,175,47,25,11,12,0,0,0,3.64,1.17
Carlos Rodon,NYY,32,32,32,0,0,175.0,157,77,195,57,31,16,9,0,0,0,3.96,1.22
Patrick Corbin,WSH,35,32,32,0,0,174.2,208,109,139,54,25,6,13,0,0,0,5.62,1.50
Max Fried,ATL,31,29,29,2,1,174.1,146,63,166,57,13,11,10,0,0,0,3.25,1.16
Nestor Cortes,NYY,30,31,30,0,0,174.1,162,73,162,39,24,9,10,0,0,0,3.77,1.15
Michael King,SD,29,31,30,0,0,173.2,144,57,201,63,17,13,9,0,0,0,2.95,1.19
Freddy Peralta,MIL,28,32,32,0,0,173.2,143,71,200,68,26,11,9,0,0,0,3.68,1.21
Tanner Bibee,CLE,26,31,31,0,0,173.2,150,67,187,44,22,12,8,0,0,0,3.47,1.12
Shota Imanaga,CHC,31,29,29,0,0,173.1,149,56,174,28,27,15,3,0,0,0,2.91,1.02
Miles Mikolas,STL,36,32,32,0,0,171.2,194,102,122,25,26,10,11,0,0,0,5.35,1.28
